, PRODUCT A ,exp,err, PRODUCT B ,exp,err, PRODUCT C ,exp,err, PRODUCT D ,exp,err
DATE, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,
24-May-11,"9,426",9063.240843,4407.843632,432,427.7891877,215.8896459,,0.0001425,#DIV/0!,"1,338",1543.717571,3241.25229
25-May-11,"3,963",4218.012042,5251.836218,606,597.0894594,239.1541422,19,18.05000713,10.96957284,"2,748",2687.785879,3199.955876
26-May-11,"2,404",2494.700602,5226.240805,30,58.35447297,346.6227174,,0.902500356,10.96957284,762,858.2892939,2713.351866
27-May-11,"1,365",1421.48503,3192.664498,,2.917723648,343.1955461,,0.045125018,10.96957284,108,145.5144647,1381.048085
31-May-11,"4,000",3871.074252,1933.528949,708,672.7458862,522.408356,,0.002256251,#DIV/0!,,7.275723235,1193.256786
01-Jun-11,"5,886",5785.253713,1998.740326,342,358.5372943,449.6420271,17,16.15011281,9.813651929,"3,858",3665.463786,2265.024759
02-Jun-11,596,855.4626856,3541.987169,12,29.32686472,492.1456268,,0.807505641,9.813651929,288,456.8731893,2957.213727
03-Jun-11,306,333.4731343,3229.560812,,1.466343236,276.5748468,,0.040375282,9.813651929,18,39.94365947,2968.049234
06-Jun-11,622,607.5736567,3017.367014,468,444.6733172,335.5303013,,0.002018764,#DIV/0!,144,138.797183,1967.290779
07-Jun-11,"8,484",8090.178683,4561.551232,420,421.2336659,269.729757,,0.000100938,#DIV/0!,222,217.8398591,264.8018801
08-Jun-11,"5,320",5458.508934,4823.388492,432,431.4616833,269.801371,21,19.95000505,12.12429738,"3,834",3653.191993,2089.207553
09-Jun-11,"1,480",1678.925447,5339.803842,12,32.97308416,242.6745353,,0.997500252,12.12429738,288,456.2595996,2852.370594
10-Jun-11,261,331.8962723,2916.215347,,1.648654208,242.2560751,,0.049875013,12.12429738,114,131.11298,2858.803535
13-Jun-11,"2,018",1933.694814,2625.642251,336,319.2824327,309.6982005,,0.002493751,#DIV/0!,270,263.055649,1954.5629
